"STATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00013988","2018-10-01","0.00",,"81","65"
"USW00013988","2018-10-02","0.00",,"89","61"
"USW00013988","2018-10-03","0.00",,"91","69"
"USW00013988","2018-10-04","0.00",,"69","52"
"USW00013988","2018-10-05","0.07",,"84","56"
"USW00013988","2018-10-06","0.95",,"77","54"
"USW00013988","2018-10-07","2.48",,"68","54"
"USW00013988","2018-10-08","2.64",,"84","66"
"USW00013988","2018-10-09","1.67",,"76","65"
"USW00013988","2018-10-10","0.01",,"67","47"
"USW00013988","2018-10-11","0.00",,"55","41"
"USW00013988","2018-10-12",,,"49","45"
"USW00013988","2018-10-13","0.00",,"58","44"
"USW00013988","2018-10-14","0.41",,"53","35"
"USW00013988","2018-10-15","0.00",,"47","33"
"USW00013988","2018-10-16","0.00",,"63","32"
"USW00013988","2018-10-17","0.00",,"68","40"
"USW00013988","2018-10-18","0.00",,"67","43"
"USW00013988","2018-10-19","0.00",,"64","52"
"USW00013988","2018-10-20","0.00",,"65","43"
"USW00013988","2018-10-21","0.00",,"65","35"
"USW00013988","2018-10-22","0.00",,"72","47"
"USW00013988","2018-10-23","0.00",,"67","45"
"USW00013988","2018-10-24","0.00",,"64","43"
"USW00013988","2018-10-25","0.16",,"53","48"
"USW00013988","2018-10-26","0.00",,"59","45"
"USW00013988","2018-10-27","0.00",,"72","42"
"USW00013988","2018-10-28","0.00",,"67","45"
"USW00013988","2018-10-29","0.00",,"73","43"
"USW00013988","2018-10-30","0.00",,"70","54"
"USW00013988","2018-10-31","0.00",,"60","48"
"USW00013988","2018-11-01","0.00",,"60","43"
"USW00013988","2018-11-02","0.00",,"54","44"
"USW00013988","2018-11-03","0.06",,"61","45"
"USW00013988","2018-11-04","0.00",,"53","39"
"USW00013988","2018-11-05","0.15",,"53","41"
"USW00013988","2018-11-06","0.01",,"51","36"
"USW00013988","2018-11-07","0.00",,"47","35"
"USW00013988","2018-11-08",,,"38","30"
"USW00013988","2018-11-09","0.00",,"38","18"
"USW00013988","2018-11-10","0.00",,"39","14"
"USW00013988","2018-11-11","0.00",,"50","29"
"USW00013988","2018-11-12","0.00",,"35","21"
"USW00013988","2018-11-13","0.00",,"33","16"
"USW00013988","2018-11-14","0.00",,"41","20"
"USW00013988","2018-11-15","0.00",,"51","23"
"USW00013988","2018-11-16","0.00",,"58","30"
"USW00013988","2018-11-17","0.00",,"46","30"
"USW00013988","2018-11-18","0.00",,"35","26"
"USW00013988","2018-11-19","0.00",,"44","24"
"USW00013988","2018-11-20","0.00",,"46","23"
"USW00013988","2018-11-21","0.00",,"63","35"
"USW00013988","2018-11-22","0.00",,"64","40"
"USW00013988","2018-11-23","0.00",,"53","42"
"USW00013988","2018-11-24","0.00",,"64","33"
"USW00013988","2018-11-25","0.21",,"52","24"
"USW00013988","2018-11-26","0.00",,"29","19"
"USW00013988","2018-11-27","0.00",,"28","18"
"USW00013988","2018-11-28","0.00",,"40","22"
"USW00013988","2018-11-29","0.00",,"49","28"
"USW00013988","2018-11-30","0.20",,"41","30"
"USW00013988","2018-12-01","0.77",,"55","37"
"USW00013988","2018-12-02","0.00",,"39","33"
"USW00013988","2018-12-03","0.00",,"33","29"
"USW00013988","2018-12-04","0.00",,"32","27"
"USW00013988","2018-12-05","0.00",,"49","25"
"USW00013988","2018-12-06","0.00",,"42","23"
"USW00013988","2018-12-07","0.00",,"33","20"
"USW00013988","2018-12-08","0.00",,"35","22"
"USW00013988","2018-12-09","0.00",,"38","17"
"USW00013988","2018-12-10","0.00",,"46","20"
"USW00013988","2018-12-11","0.00",,"58","27"
"USW00013988","2018-12-12","0.00",,"55","30"
"USW00013988","2018-12-13","0.00",,"49","37"
"USW00013988","2018-12-14","0.00",,"48","30"
"USW00013988","2018-12-15","0.00",,"56","24"
"USW00013988","2018-12-16","0.00",,"56","26"
"USW00013988","2018-12-17","0.00",,"57","26"
"USW00013988","2018-12-18","0.00",,"60","30"
"USW00013988","2018-12-19","0.00",,"51","44"
"USW00013988","2018-12-20","0.00",,"45","33"
"USW00013988","2018-12-21","0.00",,"46","28"
"USW00013988","2018-12-22","0.00",,"48","33"
"USW00013988","2018-12-23","0.00",,"49","29"
"USW00013988","2018-12-24","0.00",,"49","28"
"USW00013988","2018-12-25","0.00",,"52","38"
"USW00013988","2018-12-26","0.50",,"52","39"
"USW00013988","2018-12-27","0.13",,"60","28"
"USW00013988","2018-12-28","0.00",,"28","19"
"USW00013988","2018-12-29","0.00",,"29","19"
"USW00013988","2018-12-30","0.00",,"45","20"
"USW00013988","2018-12-31","0.46",,"42","26"
"USW00013988","2019-01-01","0.00",,"26","20"
"USW00013988","2019-01-02","0.00",,"36","21"
"USW00013988","2019-01-03","0.00",,"49","22"
"USW00013988","2019-01-04","0.00",,"56","25"
"USW00013988","2019-01-05","0.00",,"63","28"
"USW00013988","2019-01-06","0.00",,"62","35"
"USW00013988","2019-01-07","0.01",,"63","42"
"USW00013988","2019-01-08","0.00",,"53","36"
"USW00013988","2019-01-09","0.00",,"39","27"
"USW00013988","2019-01-10","0.00",,"43","24"
"USW00013988","2019-01-11","0.25",,"42","33"
"USW00013988","2019-01-12","0.11",,"34","31"
"USW00013988","2019-01-13","0.00",,"32","30"
"USW00013988","2019-01-14","0.00",,"32","27"
"USW00013988","2019-01-15","0.00",,"36","32"
"USW00013988","2019-01-16","0.00",,"35","33"
"USW00013988","2019-01-17","0.00",,"36","34"
"USW00013988","2019-01-18","0.17",,"39","28"
"USW00013988","2019-01-19","0.00",,"28","12"
"USW00013988","2019-01-20","0.00",,"24","11"
"USW00013988","2019-01-21","0.00",,"36","18"
"USW00013988","2019-01-22","0.20",,"43","24"
"USW00013988","2019-01-23","0.00",,"28","17"
"USW00013988","2019-01-24","0.00",,"31","12"
"USW00013988","2019-01-25","0.00",,"36","7"
"USW00013988","2019-01-26","0.00",,"44","25"
"USW00013988","2019-01-27","0.00",,"47","28"
"USW00013988","2019-01-28","0.00",,"48","18"
"USW00013988","2019-01-29","0.00",,"30","9"
"USW00013988","2019-01-30","0.00",,"9","-4"
"USW00013988","2019-01-31","0.00",,"35","4"
"USW00013988","2019-02-01","0.00",,"54","22"
"USW00013988","2019-02-02","0.00",,"58","37"
"USW00013988","2019-02-03","0.00",,"67","54"
"USW00013988","2019-02-04","0.00",,"62","24"
"USW00013988","2019-02-05","0.00",,"27","22"
"USW00013988","2019-02-06","0.00",,"28","24"
"USW00013988","2019-02-07","0.15",,"27","12"
"USW00013988","2019-02-08","0.00",,"23","8"
"USW00013988","2019-02-09","0.00",,"32","15"
"USW00013988","2019-02-10","0.00",,"38","31"
"USW00013988","2019-02-11","0.23",,"35","34"
"USW00013988","2019-02-12","0.00",,"38","26"
"USW00013988","2019-02-13","0.00",,"57","24"
"USW00013988","2019-02-14","0.00",,"57","20"
"USW00013988","2019-02-15","0.12",,"20","15"
"USW00013988","2019-02-16","0.02",,"27","18"
"USW00013988","2019-02-17","0.00",,"29","21"
"USW00013988","2019-02-18","0.00",,"28","14"
"USW00013988","2019-02-19","0.26",,"31","22"
"USW00013988","2019-02-20","0.01",,"38","29"
"USW00013988","2019-02-21","0.00",,"41","21"
"USW00013988","2019-02-22","0.17",,"40","30"
"USW00013988","2019-02-23","0.40",,"47","32"
